id,cba_section_id,article_number,article_title,section_number,section_title,question,answer,citation,topic,difficulty,created_at,updated_at
000bd94d-619c-48aa-873d-67534204522f,78c6ebb0-ee50-4c0b-9077-8ba4594965fe,Article XIII,CIRCUMVENTION,Section 2,No Unauthorized Agreements.,How can a violation of Section 2(a) or 2(b) be proven according to the CBA?,"A violation can be proven by direct or circumstantial evidence, such as when a Player Contract's terms cannot be rationally explained without assuming conduct that violates Section 2(a) or 2(b).","Article XIII, Section 2",draft,medium,2025-10-15 02:36:41.399636,2025-10-15 02:36:41.399636
00170bcc-231c-478b-af90-2e6d20cd5c6a,0a8e96b3-2daa-4706-9f35-e7fd7a6ff678,Article VI,PLAYER CONDUCT,5,"Media Training, Business of Basketball, Anti-Gambling",Define the collaboration required between the NBA and NBPA regarding anti-gambling training.,"Each year, the NBA and Players Association must work together to identify players who did not attend the Rookie Transition Program or the anti-gambling training session and provide them with educational materials. Additionally, they ensure NBAGL players receive the same anti-gambling training as NBA players.","Article VI, Section 5",general,hard,2025-10-15 06:19:54.927272,2025-10-15 06:19:54.927272
0026b276-9dfd-4ee6-b73b-94f3df6290ae,7705fc93-db1a-4501-b220-8c5194658d99,Article XXXIX,TERM OF AGREEMENT,Section 6,Mutual Right of Termination.,"If a court declares a provision in Article XI unenforceable, what can the NBA or the Players Association do?","If a provision in Article XI is declared unenforceable by a court, the NBA or the Players Association can terminate the agreement by providing the other party with written notice at least sixty (60) days prior to the termination's effective date.","Article Article XXXIX, Section 6",general,hard,2025-10-15 16:05:37.341327,2025-10-15 16:05:37.341327
004e8c43-8701-4666-8c9f-95edda73f4a6,c32e6ac0-4197-4c04-adf8-185d5ce461f4,Article VI,PLAYER CONDUCT,Section 15,Player Convictions and Other Discipline Involving,What potential consequence does a player face for using a Marijuana Product at an NBA facility?,"A player who uses Marijuana Products at an NBA facility may be subject to discipline deemed reasonable under the circumstances. The One Penalty rule, as outlined in Article VI, Section 10, applies to such disciplinary actions.","Article VI, Section 15",conduct,medium,2025-10-15 02:28:23.526863,2025-10-15 02:28:23.526863
004eaa5c-04ef-4d88-9b77-191050d812e4,bad9c573-818f-448d-82d6-3ee763e9a495,Article XXXIX,TERM OF AGREEMENT.............................. 542,5,,Define 'force majeure' in the context of the NBA CBA.,"'Force majeure' refers to extraordinary events or circumstances beyond the control of the NBA, such as natural disasters or significant disruptions, that prevent the league from fulfilling its contractual obligations as per Article XXXIX, page 543.","Article XXXIX, Section 5",general,easy,2025-10-15 16:41:31.880585,2025-10-15 16:41:31.880585
005c53ce-509c-4a6e-ae8f-b66430e24a3f,a6d6b6f3-ca47-4488-bcc0-9ea87e3fc8c7,Article XXXVI,PLAYER AGENTS,Section 2,Fines.,Under what conditions is a team not fined for negotiating with a non-certified agent?,A team is not fined if the agent is designated as the player's authorized agent on the current agent list provided by the Players Association.,Article XXXVI,player-agents,medium,2025-10-20 17:27:58.428121,2025-10-20 17:27:58.428121
00808d48-f6e9-4be7-ae3b-ff65859eab27,a20e64c7-8cc1-461e-82fa-f33cc8df3752,Article XXXIX,TERM OF AGREEMENT.............................. 542,1,,How does the effective date impact player contracts signed under the CBA?,"The effective date determines when the terms of the CBA apply to player contracts, ensuring all agreements adhere to the rules set forth from this date onward.","Article XXXIX, Section 1",general,medium,2025-10-15 16:40:38.932388,2025-10-15 16:40:38.932388
00950571-f2f4-4925-999a-dab50452495b,cdde510b-a0e6-416a-a5e9-a4e5c33799ef,Article XXXIII,ANTI-DRUG PROGRAM AND SUBSTANCE ABUSE TREATMENT,Section 20,No Significant Fault or Negligence by Player.,What does 'no significant fault or negligence' mean in the context of the NBA Anti-Drug Program?,"'No significant fault or negligence' refers to a situation where the player did not know or suspect, and could not reasonably have known or suspected, even with considerable caution and diligence, that he was using a Drug of Abuse or SPED.","Article Article XXXIII, Section Section 20",general,easy,2025-10-15 05:41:09.720196,2025-10-15 05:41:09.720196
009807c9-bc69-479b-8506-aca61866a539,c32e6ac0-4197-4c04-adf8-185d5ce461f4,Article VI,PLAYER CONDUCT,Section 15,Player Convictions and Other Discipline Involving,How does the One Penalty rule apply to violations of the player conduct involving marijuana use?,The One Penalty rule ensures that a player cannot be disciplined multiple times by both the NBA and their team for the same violation involving marijuana use. The rule aims to prevent double punishment for a single infraction under these circumstances.,"Article VI, Section 15",conduct,hard,2025-10-15 02:28:23.526863,2025-10-15 02:28:23.526863
009d0177-7191-492b-9cc3-f1440652e187,1550c255-95af-4694-ac2d-02af500599fe,Article XX,SCHEDULING,9,Days Off.,"If a team lands at its destination at 1:30 a.m., can that day still be considered a Day Off?","Yes, a day can still be considered a Day Off if the team lands after 1:00 a.m., provided the players are notified before disembarking that they will have a Day Off, as described in Article XX, Section 9(b).","Article XX, Section 9",general,hard,2025-10-15 06:31:43.56129,2025-10-15 06:31:43.56129
